ID,query_movie_id,recommended_movie_id,position,title,genre
45635_1,45635,3194,1,"Way We Were, The (1973)",Drama|Romance
45635_2,45635,3549,2,Guys and Dolls (1955),Comedy|Musical|Romance
45635_3,45635,1986,3,Halloween 5: The Revenge of Michael Myers (1989),Horror
45635_4,45635,7029,4,Rabid (1977),Horror|Thriller
45635_5,45635,7016,5,Over the Top (1987),Action|Drama
45635_6,45635,4341,6,What's the Worst That Could Happen? (2001),Comedy
45635_7,45635,504,7,No Escape (1994),Action|Drama|Sci-Fi
45635_8,45635,365,8,Little Buddha (1993),Drama
45635_9,45635,8126,9,Shock Corridor (1963),Drama
45635_10,45635,7493,10,"Three Faces of Eve, The (1957)",Drama
1373_1,1373,7442,1,Young Adam (2003),Crime|Drama|Thriller
1373_2,1373,1050,2,Looking for Richard (1996),Documentary|Drama
1373_3,1373,4582,3,Dead Bang (1989),Thriller
1373_4,1373,573,4,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama
1373_5,1373,3308,5,"Flamingo Kid, The (1984)",Comedy|Drama
1373_6,1373,635,6,"Family Thing, A (1996)",Comedy|Drama
1373_7,1373,5188,7,How to Beat the High Cost of Living (1980),Comedy
1373_8,1373,5189,8,Humanoids from the Deep (1980),Horror|Sci-Fi
1373_9,1373,4599,9,Great Balls of Fire! (1989),Drama
1373_10,1373,7314,10,Robot Stories (2003),Drama|Sci-Fi
7325_1,7325,7369,1,Scooby-Doo 2: Monsters Unleashed (2004),Action|Adventure|Children|Comedy|Mystery
7325_2,7325,864,2,"Wife, The (1995)",Comedy|Drama
7325_3,7325,1764,3,Tainted (1998),Comedy|Thriller
7325_4,7325,6036,4,Secret Admirer (1985),Comedy|Romance
7325_5,7325,279,5,My Family (1995),Drama
7325_6,7325,1208,6,Apocalypse Now (1979),Action|Drama|War
7325_7,7325,6873,7,Intolerable Cruelty (2003),Comedy|Romance
7325_8,7325,4317,8,Love Potion #9 (1992),Comedy|Romance
7325_9,7325,5015,9,Monster's Ball (2001),Drama|Romance
7325_10,7325,5016,10,"Shipping News, The (2001)",Drama
389_1,389,6430,1,Ziggy Stardust and the Spiders from Mars (1973),Documentary|Musical
389_2,389,1889,2,Insomnia (1997),Drama|Mystery|Thriller
389_3,389,6061,3,Kedma (2002),Drama|War
389_4,389,7008,4,Last Tango in Paris (Ultimo tango a Parigi) (1972),Drama|Romance
389_5,389,3859,5,"Eyes of Tammy Faye, The (2000)",Documentary
389_6,389,6786,6,Kiss of the Spider Woman (1985),Drama
389_7,389,1183,7,"English Patient, The (1996)",Drama|Romance|War
389_8,389,8755,8,My Voyage to Italy (Il mio viaggio in Italia) (1999),Documentary
389_9,389,8492,9,"Christmas Carol, A (Scrooge) (1951)",Drama|Fantasy
389_10,389,6493,10,Alex and Emma (2003),Comedy|Drama|Romance
8920_1,8920,1898,1,"Land Girls, The (1998)",Drama|War
8920_2,8920,6885,2,In the Cut (2003),Crime|Drama|Mystery|Romance|Thriller
8920_3,8920,4099,3,Death Before Dishonor (1987),Action|Drama
8920_4,8920,2506,4,"Other Sister, The (1999)",Comedy|Drama|Romance
8920_5,8920,223,5,Clerks (1994),Comedy
8920_6,8920,325,6,National Lampoon's Senior Trip (1995),Comedy
8920_7,8920,7210,7,My Darling Clementine (1946),Western
8920_8,8920,5829,8,Men with Brooms (2002),Comedy|Drama|Romance
8920_9,8920,5830,9,Mysterious Island (1961),Adventure|Sci-Fi
8920_10,8920,3028,10,"Taming of the Shrew, The (1967)",Comedy
93040_1,93040,2868,1,Fright Night Part II (1988),Horror
93040_2,93040,7292,2,Best Defense (1984),Comedy|War
93040_3,93040,2461,3,Leatherface: Texas Chainsaw Massacre III (1990),Comedy|Horror|Thriller
93040_4,93040,409,4,Above the Rim (1994),Crime|Drama
93040_5,93040,1787,5,"Paralyzing Fear: The Story of Polio in America, A (1998)",Documentary
93040_6,93040,3748,6,"Match, The (1999)",Comedy|Romance
93040_7,93040,4490,7,"Couch Trip, The (1988)",Comedy
93040_8,93040,3592,8,"Time Masters (Maîtres du temps, Les) (1982)",Animation|Sci-Fi
93040_9,93040,7365,9,Noi the Albino (Nói albinói) (2003),Drama
93040_10,93040,3576,10,"Hidden, The (1987)",Action|Horror|Sci-Fi
120807_1,120807,3915,1,Girlfight (2000),Drama
120807_2,120807,4517,2,Lady in White (a.k.a. The Mystery of the Lady in White) (1988),Horror|Mystery|Thriller
120807_3,120807,6728,3,"Ugly American, The (1963)",Drama
120807_4,120807,1526,4,Fathers' Day (1997),Comedy
120807_5,120807,6927,5,"Human Stain, The (2003)",Drama|Romance|Thriller
120807_6,120807,3524,6,Arthur (1981),Comedy|Romance
120807_7,120807,951,7,His Girl Friday (1940),Comedy|Romance
120807_8,120807,7399,8,Ned Kelly (1970),Action|Crime|Western
120807_9,120807,6379,9,Wrong Turn (2003),Horror|Thriller
120807_10,120807,5470,10,The Importance of Being Earnest (1952),Comedy|Romance
141994_1,141994,2937,1,"Palm Beach Story, The (1942)",Comedy
141994_2,141994,6090,2,Kiss Me Goodbye (1982),Comedy
141994_3,141994,332,3,Village of the Damned (1995),Horror|Sci-Fi
141994_4,141994,964,4,Angel and the Badman (1947),Romance|Western
141994_5,141994,961,5,Little Lord Fauntleroy (1936),Drama
141994_6,141994,1357,6,Shine (1996),Drama|Romance
141994_7,141994,4191,7,Alfie (1966),Comedy|Drama|Romance
141994_8,141994,7118,8,Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa) (1987),Animation|Drama|Sci-Fi|War
141994_9,141994,3562,9,Committed (2000),Comedy|Drama
141994_10,141994,2341,10,Dancing at Lughnasa (1998),Drama
1446_1,1446,2301,1,History of the World: Part I (1981),Comedy|Musical
1446_2,1446,4178,2,Of Mice and Men (1939),Drama
1446_3,1446,6024,3,Breaking Up (1997),Comedy|Romance
1446_4,1446,4894,4,Timerider: The Adventure of Lyle Swann (1982),Action|Adventure|Sci-Fi|Western
1446_5,1446,3336,5,It Happened Here (1966),Drama|Fantasy|War
1446_6,1446,4190,6,Elmer Gantry (1960),Drama
1446_7,1446,4787,7,Little Man Tate (1991),Drama
1446_8,1446,6093,8,"Last Unicorn, The (1982)",Animation|Children|Fantasy
1446_9,1446,2310,9,"Mighty, The (1998)",Drama
1446_10,1446,4020,10,"Gift, The (2000)",Thriller
74789_1,74789,4839,1,Death Ship (1980),Horror
74789_2,74789,3403,2,Raise the Titanic (1980),Drama|Thriller
74789_3,74789,8711,3,Mr. Blandings Builds His Dream House (1948),Comedy
74789_4,74789,4807,4,Spring Break (1983),Comedy
74789_5,74789,4755,5,Wish Upon a Star (1996),Comedy
74789_6,74789,4474,6,Beaches (1988),Comedy|Drama|Musical
74789_7,74789,4556,7,Track 29 (1988),Drama|Mystery
74789_8,74789,1752,8,Hard Rain (1998),Action|Crime|Thriller
74789_9,74789,7697,9,"Prince and the Showgirl, The (1957)",Comedy|Romance
74789_10,74789,44,10,Mortal Kombat (1995),Action|Adventure|Fantasy
55241_1,55241,4914,1,Breathless (À bout de souffle) (1960),Crime|Drama|Romance
55241_2,55241,2061,2,Full Tilt Boogie (1997),Documentary
55241_3,55241,8602,3,Shadows (1959),Drama
55241_4,55241,4344,4,Swordfish (2001),Action|Crime|Drama
55241_5,55241,8268,5,Point of No Return (1993),Action|Thriller
55241_6,55241,2562,6,Bandits (1997),Drama
55241_7,55241,8702,7,Dream Lover (1994),Drama|Mystery
55241_8,55241,3883,8,Catfish in Black Bean Sauce (2000),Comedy|Drama
55241_9,55241,1841,9,"Gingerbread Man, The (1998)",Drama|Thriller
55241_10,55241,1727,10,"Horse Whisperer, The (1998)",Drama|Romance
2324_1,2324,97,1,"Hate (Haine, La) (1995)",Crime|Drama
2324_2,2324,3602,2,G. I. Blues (1960),Comedy|Musical|Romance
2324_3,2324,6383,3,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",Action|Crime|Thriller
2324_4,2324,1646,4,RocketMan (a.k.a. Rocket Man) (1997),Children|Comedy|Romance|Sci-Fi
2324_5,2324,4277,5,"Lost World, The (1925)",Adventure|Sci-Fi
2324_6,2324,3264,6,Buffy the Vampire Slayer (1992),Action|Comedy|Horror
2324_7,2324,1258,7,"Shining, The (1980)",Horror
2324_8,2324,4851,8,Things Behind the Sun (2001),Drama
2324_9,2324,7023,9,"Wedding Banquet, The (Xi yan) (1993)",Comedy|Drama|Romance
2324_10,2324,2976,10,Bringing Out the Dead (1999),Drama
3669_1,3669,206,1,Unzipped (1995),Documentary
3669_2,3669,8825,2,Cheerleader Camp (1987),Comedy|Horror|Mystery
3669_3,3669,4112,3,Julia and Julia (Giulia e Giulia) (1987),Drama|Mystery|Thriller
3669_4,3669,4804,4,Pocketful of Miracles (1961),Comedy|Drama
3669_5,3669,4932,5,Dressed to Kill (1980),Mystery|Thriller
3669_6,3669,5190,6,Inside Moves (1980),Drama
3669_7,3669,4541,7,"Serpent and the Rainbow, The (1988)",Horror
3669_8,3669,6823,8,Under Suspicion (1992),Crime|Drama|Thriller
3669_9,3669,1415,9,"Thieves (Voleurs, Les) (1996)",Crime|Drama|Romance
3669_10,3669,2239,10,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Comedy|Drama
423_1,423,430,1,Calendar Girl (1993),Comedy|Drama
423_2,423,5560,2,À nous la liberté (Freedom for Us) (1931),Comedy|Musical
423_3,423,5561,3,True Colors (1991),Drama
423_4,423,4611,4,Johnny Handsome (1989),Crime|Drama
423_5,423,7878,5,Straight to Hell (1987),Comedy|Crime|Western
423_6,423,2554,6,Children of the Damned (1963),Horror|Sci-Fi|Thriller
423_7,423,2971,7,All That Jazz (1979),Drama|Fantasy|Musical
423_8,423,2321,8,Pleasantville (1998),Comedy|Drama|Fantasy
423_9,423,2337,9,Velvet Goldmine (1998),Drama
423_10,423,3755,10,"Perfect Storm, The (2000)",Drama|Thriller
3680_1,3680,213,1,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
3680_2,3680,2295,2,"Impostors, The (1998)",Comedy
3680_3,3680,5450,3,Lovely & Amazing (2001),Comedy|Drama|Romance
3680_4,3680,5451,4,Pumpkin (2002),Comedy|Drama|Romance
3680_5,3680,267,5,Major Payne (1995),Comedy
3680_6,3680,805,6,"Time to Kill, A (1996)",Drama|Thriller
3680_7,3680,2438,7,Outside Ozona (1998),Comedy|Drama|Thriller
3680_8,3680,6176,8,Mr. Majestyk (1974),Action|Drama
3680_9,3680,6897,9,Unconditional Love (2002),Comedy|Drama
3680_10,3680,2458,10,Armed and Dangerous (1986),Comedy|Crime
2988_1,2988,5582,1,Captain Ron (1992),Adventure|Comedy
2988_2,2988,5583,2,"Devil Bat, The (1940)",Crime|Horror|Mystery|Sci-Fi
2988_3,2988,489,3,Made in America (1993),Comedy
2988_4,2988,7234,4,"Strada, La (1954)",Drama
2988_5,2988,1623,5,Wishmaster (1997),Horror
2988_6,2988,8973,6,Bad Education (La mala educación) (2004),Drama|Thriller
2988_7,2988,6854,7,"Bedford Incident, The (1965)",Drama|Thriller|War
2988_8,2988,1953,8,"French Connection, The (1971)",Action|Crime|Thriller
2988_9,2988,2710,9,"Blair Witch Project, The (1999)",Drama|Horror|Thriller
2988_10,2988,8041,10,Passed Away (1992),Comedy
176389_1,176389,3613,1,Things Change (1988),Comedy
176389_2,176389,4955,2,"Sicilian, The (1987)",Crime|Drama
176389_3,176389,4956,3,"Stunt Man, The (1980)",Action|Adventure|Comedy|Drama|Romance|Thriller
176389_4,176389,7307,4,Flesh & Blood (1985),Action|Adventure|Drama|War
176389_5,176389,6631,5,Man's Best Friend (1993),Horror|Sci-Fi|Thriller
176389_6,176389,8973,6,Bad Education (La mala educación) (2004),Drama|Thriller
176389_7,176389,7439,7,"Punisher, The (2004)",Action|Crime|Thriller
176389_8,176389,7167,8,Japanese Story (2003),Drama
176389_9,176389,8841,9,Seeing Other People (2004),Comedy
176389_10,176389,8823,10,"Sting II, The (1983)",Comedy|Crime
53123_1,53123,4690,1,"Cotton Club, The (1984)",Crime|Musical
53123_2,53123,3437,2,Cool as Ice (1991),Drama
53123_3,53123,8398,3,Star! (1968),Musical
53123_4,53123,4163,4,Carman: The Champion (2001),Action|Drama
53123_5,53123,4855,5,Dirty Harry (1971),Action|Crime|Thriller
53123_6,53123,4012,6,Punchline (1988),Comedy|Drama
53123_7,53123,4188,7,Hans Christian Andersen (1952),Children|Musical
53123_8,53123,6262,8,Unknown Pleasures (Ren xiao yao) (2002),Comedy|Drama
53123_9,53123,4192,9,Demetrius and the Gladiators (1954),Drama
53123_10,53123,4734,10,Jay and Silent Bob Strike Back (2001),Adventure|Comedy
79798_1,79798,8402,1,Book of Love (1990),Comedy|Romance
79798_2,79798,1290,2,Some Kind of Wonderful (1987),Drama|Romance
79798_3,79798,7840,3,Gunga Din (1939),Adventure|Comedy|War
79798_4,79798,2024,4,"Rapture, The (1991)",Drama|Mystery
79798_5,79798,2142,5,"American Tail: Fievel Goes West, An (1991)",Adventure|Animation|Children|Musical|Western
79798_6,79798,3163,6,Topsy-Turvy (1999),Comedy|Drama|Musical
79798_7,79798,329,7,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
79798_8,79798,2015,8,"Absent-Minded Professor, The (1961)",Children|Comedy|Fantasy
79798_9,79798,7136,9,Stolen Kisses (Baisers volés) (1968),Comedy|Drama|Romance
79798_10,79798,5995,10,"Pianist, The (2002)",Drama|War
174479_1,174479,4701,1,Rush Hour 2 (2001),Action|Comedy
174479_2,174479,6953,2,21 Grams (2003),Crime|Drama|Mystery|Romance|Thriller
174479_3,174479,8512,3,Silent Movie (1976),Comedy
174479_4,174479,5241,4,Seems Like Old Times (1980),Comedy|Romance
174479_5,174479,5240,5,Running Scared (1980),Action|Drama
174479_6,174479,7384,6,Since Otar Left (Depuis qu'Otar est parti...) (2003),Drama
174479_7,174479,4007,7,Wall Street (1987),Drama
174479_8,174479,389,8,"Colonel Chabert, Le (1994)",Drama|Romance|War
174479_9,174479,525,9,"Saint of Fort Washington, The (1993)",Drama
174479_10,174479,1522,10,Ripe (1996),Drama
185029_1,185029,78,1,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
185029_2,185029,2482,2,Still Crazy (1998),Comedy|Romance
185029_3,185029,5756,3,Heartbeeps (1981),Comedy|Sci-Fi
185029_4,185029,5755,4,Happy Birthday to Me (1981),Horror|Mystery
185029_5,185029,2359,5,Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy
185029_6,185029,215,6,Before Sunrise (1995),Drama|Romance
185029_7,185029,6887,7,Radio (2003),Drama
185029_8,185029,1043,8,To Gillian on Her 37th Birthday (1996),Drama|Romance
185029_9,185029,3571,9,Time Code (2000),Comedy|Drama
185029_10,185029,7253,10,It (1927),Comedy|Romance
6625_1,6625,4701,1,Rush Hour 2 (2001),Action|Comedy
6625_2,6625,389,2,"Colonel Chabert, Le (1994)",Drama|Romance|War
6625_3,6625,5241,3,Seems Like Old Times (1980),Comedy|Romance
6625_4,6625,5240,4,Running Scared (1980),Action|Drama
6625_5,6625,7384,5,Since Otar Left (Depuis qu'Otar est parti...) (2003),Drama
6625_6,6625,3413,6,Impact (1949),Crime|Drama
6625_7,6625,4628,7,New York Stories (1989),Comedy|Drama
6625_8,6625,8512,8,Silent Movie (1976),Comedy
6625_9,6625,6953,9,21 Grams (2003),Crime|Drama|Mystery|Romance|Thriller
6625_10,6625,744,10,Brothers in Trouble (1995),Drama
65810_1,65810,6483,1,From Justin to Kelly (2003),Musical|Romance
65810_2,65810,4394,2,Beach Blanket Bingo (1965),Comedy|Musical
65810_3,65810,6407,3,"Walk, Don't Run (1966)",Comedy|Romance
65810_4,65810,6835,4,Alien Contamination (1980),Action|Horror|Sci-Fi
65810_5,65810,745,5,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
65810_6,65810,8742,6,Night Patrol (1984),Comedy
65810_7,65810,3334,7,Key Largo (1948),Crime|Drama|Film-Noir|Thriller
65810_8,65810,970,8,Beat the Devil (1953),Adventure|Comedy|Crime|Drama|Romance
65810_9,65810,4005,9,"Living Daylights, The (1987)",Action|Adventure|Thriller
65810_10,65810,7005,10,King Ralph (1991),Comedy
694_1,694,4026,1,Nowhere to Hide (Injeong sajeong bol geot eobtda) (1999),Action|Comedy|Crime|Thriller
694_2,694,1026,2,So Dear to My Heart (1949),Children|Drama
694_3,694,1547,3,Shiloh (1997),Children|Drama
694_4,694,3352,4,Brown's Requiem (1998),Drama
694_5,694,8827,5,"Bill Cosby, Himself (1983)",Comedy|Documentary
694_6,694,5570,6,Thesis (Tesis) (1996),Drama|Horror|Thriller
694_7,694,5571,7,"Pinochet Case, The (Cas Pinochet, Le) (2001)",Documentary
694_8,694,5705,8,Xanadu (1980),Fantasy|Musical|Romance
694_9,694,5706,9,"...All the Marbles (California Dolls, The) (1981)",Action|Comedy|Drama|Romance
694_10,694,3107,10,Backdraft (1991),Action|Drama
290_1,290,7096,1,Rivers and Tides (2001),Documentary
290_2,290,275,2,Mixed Nuts (1994),Comedy
290_3,290,4697,3,Basket Case (1982),Comedy|Horror
290_4,290,2328,4,Vampires (1998),Horror|Western
290_5,290,7982,5,"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",Drama|Horror|Mystery|Thriller
290_6,290,7294,6,Welcome to Mooseport (2004),Comedy
290_7,290,4474,7,Beaches (1988),Comedy|Drama|Musical
290_8,290,2609,8,"King of Masks, The (Bian Lian) (1996)",Drama
290_9,290,2857,9,Yellow Submarine (1968),Adventure|Animation|Comedy|Fantasy|Musical
290_10,290,4644,10,Bread and Tulips (Pane e tulipani) (2000),Comedy|Drama|Romance
522_1,522,8949,1,Sideways (2004),Comedy|Drama|Romance
522_2,522,4183,2,"Unbelievable Truth, The (1989)",Comedy|Drama
522_3,522,3000,3,Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy
522_4,522,5968,4,Miami Blues (1990),Comedy|Crime|Drama
522_5,522,334,5,Vanya on 42nd Street (1994),Drama
522_6,522,5309,6,Three Men and a Little Lady (1990),Comedy|Romance
522_7,522,5308,7,Three Men and a Baby (1987),Comedy
522_8,522,6528,8,Start the Revolution Without Me (1970),Comedy
522_9,522,809,9,Fled (1996),Action|Adventure
522_10,522,6340,10,Only the Strong Survive - A Celebration of Soul (2002),Documentary|Musical
157130_1,157130,7102,1,Dragnet (1987),Comedy|Crime|Drama
157130_2,157130,2714,2,"Wood, The (1999)",Drama
157130_3,157130,2265,3,Nothing But Trouble (1991),Adventure|Comedy
157130_4,157130,4119,4,Housekeeping (1987),Comedy|Drama
157130_5,157130,8786,5,Port of Shadows (Quai des brumes) (1938),Drama
157130_6,157130,3108,6,"Fisher King, The (1991)",Comedy|Drama|Fantasy|Romance
157130_7,157130,4109,7,Flowers in the Attic (1987),Drama|Thriller
157130_8,157130,8450,8,Anthony Adverse (1936),Adventure|Romance
157130_9,157130,4665,9,Shocker (1989),Horror
157130_10,157130,1328,10,"Amityville Curse, The (1990)",Horror
3148_1,3148,260,1,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
3148_2,3148,6212,2,Bringing Down the House (2003),Comedy
3148_3,3148,8194,3,Baby Doll (1956),Drama
3148_4,3148,5412,4,"Villain, The (1979)",Comedy|Western
3148_5,3148,5413,5,Zombie Holocaust (a.k.a. Doctor Butcher M.D.) (Zombi Holocaust) (1980),Horror
3148_6,3148,4534,6,Return to Snowy River (a.k.a. The Man From Snowy River II) (1988),Adventure|Drama|Western
3148_7,3148,248,7,Houseguest (1994),Comedy
3148_8,3148,4300,8,Bread and Roses (2000),Drama
3148_9,3148,3779,9,Project Moon Base (1953),Sci-Fi
3148_10,3148,8941,10,Riding the Bullet (2004),Horror|Thriller
36477_1,36477,861,1,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action|Comedy|Crime|Thriller
36477_2,36477,3655,2,Blow-Out (La grande bouffe) (1973),Drama
36477_3,36477,6255,3,"Bible, The (a.k.a. Bible... In the Beginning, The) (1966)",Drama
36477_4,36477,7396,4,Scenes From a Marriage (Scener ur ett äktenskap) (1973),Drama
36477_5,36477,1137,5,Hustler White (1996),Romance
36477_6,36477,8901,6,Flashpoint (1984),Action|Adventure|Crime|Mystery|Thriller
36477_7,36477,352,7,Crooklyn (1994),Comedy|Drama
36477_8,36477,4141,8,Head Over Heels (2001),Comedy|Romance
36477_9,36477,4232,9,Spy Kids (2001),Action|Adventure|Children|Comedy
36477_10,36477,7174,10,Teacher's Pet (2004),Animation|Children
6588_1,6588,7781,1,Twister (1990),Comedy
6588_2,6588,1750,2,Star Kid (1997),Adventure|Children|Fantasy|Sci-Fi
6588_3,6588,6099,3,Megaforce (1982),Action|Sci-Fi
6588_4,6588,5165,4,Zombie (a.k.a. Zombie 2: The Dead Are Among Us) (Zombi 2) (1979),Horror
6588_5,6588,5164,5,"Troll in Central Park, A (1994)",Animation|Children
6588_6,6588,5077,6,Cousins (1989),Comedy|Romance
